 2019-Mar-13 00:00,A,m, 04 16 43.83, +55 35 16.7,    04 18 14.67, +55 38 08.1,  12.87414,  -16.0825,  341.100355,    -1.153662,    n.a.,   n.a.,   21.290,   n.a.,   99.34762,   6.117010395563,-33.5398293,  6.16743948347073,-10.3167081,   82.4710,/T,    9.2661,   72.931, 297.363,  149.163125,  3.548060,   0.3433453,  141.32247,  -21.95449,         n.a.,    n.a.,
 2019-Mar-14 00:00,A,m, 04 17 21.65, +55 28 56.0,    04 18 52.39, +55 31 46.4,  13.26020,  -16.0243,  340.641638,    -1.295817,    n.a.,   n.a.,   21.282,   n.a.,   99.34557,   6.097640557461,-33.5338909,  6.16139856089228,-10.3387874,   81.6974,/T,    9.2808,   72.515, 297.688,  149.300997,  3.534284,   0.3466551,  140.39207,  -21.82616,         n.a.,    n.a.,
 2019-Mar-15 00:00,A,m, 04 18 00.45, +55 22 36.8,    04 19 31.08, +55 25 26.1,  13.64437,  -15.9652,  340.185708,    -1.443154,    n.a.,   n.a.,   21.273,   n.a.,   99.34373,   6.078274176405,-33.5278517,  6.15534143868584,-10.3667584,   80.9255,/T,    9.2939,   72.105, 298.007,  149.440432,  3.522884,   0.3500224,  139.48174,  -21.70816,         n.a.,    n.a.,
 2019-Mar-16 00:00,A,m, 04 18 40.21, +55 16 19.2,    04 20 10.75, +55 19 07.4,  14.02662,  -15.9054,  339.732604,    -1.595594,    n.a.,   n.a.,   21.265,   n.a.,   99.34212,   6.058911310684,-33.5217102,  6.14926478660607,-10.4004220,   80.1553,/T,    9.3054,   71.699, 298.320,  149.581409,  3.513868,   0.3534459,  138.59156,  -21.60004,         n.a.,    n.a.,
 2019-Mar-17 00:00,A,m, 04 19 20.93, +55 10 03.1,    04 20 51.37, +55 12 50.3,  14.40695,  -15.8450,  339.282360,    -1.753056,    n.a.,   n.a.,   21.256,   n.a.,   99.34073,   6.039552019500,-33.5154648,  6.14316539558416,-10.4395598,   79.3870,/T,    9.3153,   71.298, 298.627,  149.723907,  3.507244,   0.3569248,  137.72149,  -21.50129,         n.a.,    n.a.,
 2019-Mar-18 00:00,A,m, 04 20 02.60, +55 03 48.5,    04 21 32.94, +55 06 34.6,  14.78540,  -15.7842,  338.835007,    -1.915456,    n.a.,   n.a.,   21.248,   n.a.,   99.33956,   6.020196362989,-33.5091138,  6.13704018593046,-10.4839456,   78.6205,/T,    9.3236,   70.902, 298.927,  149.867905,  3.503019,   0.3604586,  136.87137,  -21.41136,         n.a.,    n.a.,
 2019-Mar-19 00:00,A,m, 04 20 45.21, +54 57 35.5,    04 22 15.44, +55 00 20.5,  15.16207,  -15.7232,  338.390573,    -2.082708,    n.a.,   n.a.,   21.240,   n.a.,   99.33860,   6.000844402235,-33.5026557,  6.13088620658961,-10.5333650,   77.8559,/T,    9.3304,   70.509, 299.222,  150.013382,  3.501201,   0.3640470,  136.04092,  -21.32973,         n.a.,    n.a.,
 2019-Mar-20 00:00,A,m, 04 21 28.74, +54 51 24.1,    04 22 58.86, +54 54 07.9,  15.53710,  -15.6622,  337.949088,    -2.254725,    n.a.,   n.a.,   21.231,   n.a.,   99.33787,   5.981496199286,-33.4960888,  6.12470062117417,-10.5876404,   77.0932,/T,    9.3357,   70.120, 299.511,  150.160321,  3.501795,   0.3676901,  135.22970,  -21.25593,         n.a.,    n.a.,
 2019-Mar-21 00:00,A,m, 04 22 13.19, +54 45 14.2,    04 23 43.21, +54 47 56.8,  15.91065,  -15.6011,  337.510579,    -2.431419,    n.a.,   n.a.,   21.223,   n.a.,   99.33736,   5.962151817166,-33.4894114,  6.11848067959784,-10.6466543,   76.3325,/T,    9.3394,   69.736, 299.794,  150.308702,  3.504808,   0.3713875,  134.43719,  -21.18962,         n.a.,    n.a.,
 2019-Mar-22 00:00,A,m, 04 22 58.56, +54 39 05.9,    04 24 28.47, +54 41 47.2,  16.28288,  -15.5400,  337.075075,    -2.612704,    n.a.,   n.a.,   21.214,   n.a.,   99.33707,   5.942811319888,-33.4826218,  6.11222367953943,-10.7103600,   75.5738,/T,    9.3415,   69.354, 300.071,  150.458510,  3.510249,   0.3751388,  133.66280,  -21.13060,         n.a.,    n.a.,
 2019-Mar-23 00:00,A, , 04 23 44.83, +54 32 59.1,    04 25 14.63, +54 35 39.1,  16.65389,  -15.4790,  336.642604,    -2.798494,    n.a.,   n.a.,   21.205,   n.a.,   99.33700,   5.923474772470,-33.4757182,  6.10592692679632,-10.7787742,   74.8172,/T,    9.3420,   68.976, 300.343,  150.609725,  3.518124,   0.3789428,  132.90599,  -21.07884,         n.a.,    n.a.,
